Project,Symbol,Launch date,Category tags,Price ($),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),ATH ($),ATL ($),Volume 24h ($),Circulating market cap latest ($),Fully-diluted market cap latest ($),Volume / MC ratio (%),TVL latest ($),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. TVL ($),30d avg. TVL ($),90d avg. TVL ($),180d avg. TVL ($),Annualized GMV ($),7d total revenue ($),30d total revenue ($),90d total revenue ($),180d total revenue ($),7d change (%),30d change (%),90d change (%),180d change (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d protocol revenue ($),7d change (%),7d trend (%),24h protocol revenue ($),24h change (%),24h trend (%),30d protocol revenue ($),30d change (%),30d trend (%),90d protocol revenue ($),90d change (%),90d trend (%),180d protocol revenue ($),180d change (%),180d trend (%),P/S ratio latest (x),24h change (%),7d change (%),30d change (%),90d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. P/S ratio (x),30d avg. P/S ratio (x),90d avg. P/S ratio (x),180d avg. P/S ratio (x),P/E ratio latest (x),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. P/E ratio (x),30d avg. P/E ratio (x),90d avg. P/E ratio (x),180d avg. P/E ratio (x),Twitter followers latest
Axie Infinity,AXS,26/01/2018,DeFi Gaming NFT,59.7,2.53,3.87,-18.35,-58.25,-16.23,2.53,26,-34.39,-7.95,680.99,164.9,0.12,260935543.4,4236453177,16119000000,2.45,,,,,,,,,,,,,,,,1498301123,2661549.44,12508039.87,178790334.7,847322861.5,8.9,-48.36,-90.08,-96.96,49.06,-49.77,-73.06,101.39,2661549.44,8.9,49.06,332547.12,-29.75,-29.75,12508039.87,-48.36,-49.77,178790334.7,-90.08,-73.06,847322861.5,-96.96,101.39,9998.15,1.83,12.19,59.91,538.95,1.83,47.12,109.08,312.92,-78.19,10648.88,7441.83,4159.95,2577.64,99.98,1.83,12.19,59.91,538.95,2157.25,1.83,47.12,109.08,312.92,-78.19,106.49,74.42,41.6,25.78,
Balancer,BAL,20/06/2020,DeFi Exchange,13.73,4.17,-1.06,-20.71,-42.06,-48.3,4.17,17.09,-21.42,-32.32,-45.58,74.45,6.65,12709738.32,148275179.4,1373000000,1.21,3248744145,-0.34,3.58,1.36,-9.55,-0.33,,9.5,-3.47,-5.4,38.17,3232692762,3068164023,3190642809,3286440915,26081385173,737854.7,5830351.96,28802051.9,54638692.62,165.12,36.53,-14.41,-37.94,-50.73,-11.52,11.94,35.41,0,,,0,,,0,,,0,,,0,,,1931.22,2.41,-0.16,-9.83,-0.05,2.41,20.32,84.34,-46.42,-54.91,2109.55,1935.98,1472.82,2107.26,,,,,,,,,,,,,,,,121798
Bancor,BNT,21/09/2017,DeFi Exchange,2.57,0.7,-4,-18.18,-41.97,-35.61,0.7,9.44,-19.63,-20.23,-31.36,10.72,0.12,13915856.52,659304847.6,659192622.9,3.69,1110685059,-5.03,-0.05,-19.76,-39.02,-28.2,,12.99,-14.18,-15.06,-3.03,1148454972,1122630247,1322017779,1444686225,8978561820,263475.9,2114636.77,10497896.39,25654730,5.95,-8.87,-23.37,-38.51,-14.06,-36.38,-29.3,-40.22,131737.95,5.95,-14.06,39954.33,,,1057318.38,-8.87,-36.38,5248948.2,-23.37,-29.3,12827365,-38.51,-40.22,2447.28,-0.19,25.66,30.91,32.5,-0.19,41.03,6.78,-5.47,-14.19,2380.87,1828.72,1710.09,1759.55,48.95,-0.19,25.66,30.91,32.5,19.63,-0.19,41.03,6.78,-5.47,-14.19,47.62,36.57,34.2,35.19,145252
Barnbridge,BOND,22/04/2020,Asset Management DeFi,9.72,0.56,-8.8,-33.77,-69.21,-67.14,0.56,5.84,-29.74,-36.84,-44.32,185.69,9.35,5347116.27,59113726.36,97200000,7.64,12963906.51,-0.88,-23.57,-36.01,-44.22,-88.27,,-12.34,-11.66,-60.67,-85.5,15299808.95,18031981.79,19614350.65,34394209.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28379
Basket DAO,BASK,23/03/2021,Asset Management DeFi,2.09,,-1.47,,-62.2,-95.31,,17.91,-33.41,-83.07,,1496.65,1.48,,127291.05,209000,,2472800.62,0.01,12.75,-12.55,-58.14,-90.29,,8.61,-19.06,-73.99,,2379565.11,2482305.96,3283351.5,7927453.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722
BENQI,QI,01/01/2021,DeFi Lending,0.06,2.2,-7.72,-42.12,-69.77,,2.2,26.2,-50.13,,,0.39,0.04,5144761.01,89368017.85,463154400,2.24,1286882368,-4.69,-5.8,-16.43,-7.39,,,13,-17.11,,,1381128784,1323179728,1512194668,1340336697,1522113390,2146259.14,9798131.8,42797258.59,62369724.92,11.75,-26.67,-20.91,,26.51,-36.98,120.94,,399586.19,10.46,27.3,63939.78,-2.57,-2.57,1807642.29,-27.26,-38.92,8201661.92,-27.63,114.41,12070581,,,366.07,-0.41,-0.66,-9.7,-60.92,-0.41,41.67,-37.28,,,410.08,314.8,563.28,1723.79,19.82,-0.41,-0.34,-6.98,-58.03,,-0.41,42.36,-35.05,,,22.17,16.83,28.85,86.95,
Binance Smart Chain,BNB,10/09/2020,Blockchain,403.46,1.57,-2.7,-15.35,-36.53,0.51,1.57,9.24,-18.91,8.49,32.17,686.31,0.04,981432467.6,67868974866,67836568141,1.75,,,,,,,,,,,,,,,,,10830903.92,56368135.86,331632683.8,617350086.6,9.79,-16.17,-66.44,-20.98,26.91,-31.75,22.08,65.89,0,,,0,,,0,,,0,,,0,,,9359.08,0.62,2.87,26.42,48.41,0.62,18.98,40.92,-28.18,-40.37,9316.04,7853.7,5936.36,7103.09,,,,,,,,,,,,,,,,
Bitcoin,BTC,03/01/2009,Blockchain,42401,0.74,2.19,-0.49,-33.68,-4.79,0.74,12.64,-14.12,-10.64,9.29,69045,67.81,13957591172,8.04E+11,8.90E+11,3.04,,,,,,,,,,,,,,,,5.22E+12,4006588.71,13836718.38,50974823.11,120492926.4,16.54,27.3,-36.69,-26.85,27.71,-14.22,-25.39,-82.6,0,,,0,,,0,,,0,,,0,,,514886.27,,-6.08,15.2,22.92,,11.86,8.03,1.85,299.56,,,,,,,,,,,,,,,,,,,,4655511
Cap,CAP,01/09/2021,DeFi Exchange,68.04,-16.4,-55.67,-78.35,-78.64,-32.25,-16.4,-13.64,-57.42,40.01,761.59,844.64,,3472.11,6803294.94,8164800,0.41,2201351.23,-11.49,-64.25,-28.79,350.23,,,-7.69,57.42,,,4671613.05,4400235.9,2798242.49,1954491.07,4869387074,9175.83,202301.68,884002.27,1419319.62,-90.17,-87.3,-57.58,,-44.2,-37.44,24.84,,4629.19,-80.33,-44.07,82.55,322.05,322.05,104861.52,-79.52,-35.46,456084.41,-57.58,-35.58,991401.76,,,341.28,-17.27,-47.18,-65.39,-88.14,-17.27,14.11,-33.5,,,603.29,736.09,1928.93,1726.32,6.58,-17.27,-47.37,-66.43,-77.14,,-17.27,13.68,-34.21,,,11.64,14.41,30.92,23.81,
Cardano,ADA,03/01/2017,Blockchain,1.06,-0.26,-6.49,-14.57,-47.81,-45.01,-0.26,8.34,-10.64,-40.96,33.6,3.09,0.02,975958618,33856729192,47565000000,2.17,,,,,,,,,,,,,,,,2.60E+12,279695.34,1624932.09,4193803.51,8092036.11,-3.86,26.79,-43.77,137.97,9.31,62.1,13.52,305.37,0,,,0,,,0,,,0,,,0,,,235709.66,-2.27,-7.84,-44.37,-57.94,-2.27,3.37,-31.22,-58.17,-64.82,256340.14,297224.83,367736.62,617956.94,,,,,,,,,,,,,,,,1265744
